,STATE,ELECTORAL VOTES,ELECTORAL VOTE: TRUMP (R),ELECTORAL VOTE: HARRIS (D),AYYADURAI,BOWMAN,DE LA CRUZ,DUNCAN,EBKE,EVERYLOVE,FRUIT,GARRITY,HARRIS,HUBER,KENNEDY,KISHORE,OLIVER,PRESTON,SKOUSEN,SONSKI,STEIN,STODDEN,SUPREME,TERRY,TRUMP,WELLS,WEST,WOOD,NONE OF THESE CANDIDATES,WRITE-INS (SCATTERED),TOTAL VOTES,geoName,zombies,HARRIS FRAC TOTAL,TRUMP FRAC TOTAL
36,OK,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5143.0,499599.0,0.0,16020.0,0.0,9198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036213.0,0.0,0.0,0.0,0.0,0.0,1566173.0,Oklahoma,100,0.0032182714804494575,0.006674982827369498
37,OR,8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240600.0,0.0,33733.0,0.0,9061.0,0.0,0.0,0.0,19099.0,0.0,0.0,1850.0,919480.0,0.0,5644.0,0.0,0.0,15026.0,2244493.0,Oregon,70,0.007991584448018505,0.005923022785961676
38,PA,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3423042.0,0.0,0.0,0.0,33318.0,0.0,0.0,0.0,34538.0,0.0,0.0,0.0,3543308.0,0.0,0.0,0.0,0.0,24526.0,7058732.0,Pennsylvania,76,0.022050241183390423,0.022824959783443136
39,RI,4,0.0,4.0,0.0,0.0,1176.0,0.0,0.0,0.0,0.0,0.0,285156.0,0.0,5045.0,0.0,1617.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,214406.0,359.0,0.0,0.0,0.0,2727.0,513386.0,Rhode Island,63,0.0018368920319677292,0.001381141105240896
40,SC,9,9.0,0.0,0.0,0.0,3059.0,0.0,0.0,0.0,0.0,0.0,1028452.0,0.0,0.0,0.0,12669.0,0.0,0.0,0.0,8117.0,0.0,0.0,5352.0,1483747.0,0.0,6744.0,0.0,0.0,0.0,2548140.0,South Carolina,66,0.006624988722177597,0.009557866717712488
41,SD,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146859.0,0.0,7204.0,0.0,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272081.0,0.0,0.0,0.0,0.0,0.0,428922.0,South Dakota,79,0.0009460229731190953,0.0017526666840249258
42,TN,11,11.0,0.0,0.0,5865.0,3457.0,0.0,0.0,0.0,988.0,0.0,1056265.0,0.0,21535.0,0.0,0.0,0.0,0.0,0.0,8967.0,0.0,0.0,0.0,1966865.0,0.0,0.0,0.0,0.0,0.0,3063942.0,Tennessee,77,0.006804151980482239,0.012669972388644138
43,TX,40,40.0,0.0,433.0,0.0,2374.0,0.0,0.0,0.0,0.0,0.0,4835250.0,0.0,0.0,0.0,68557.0,0.0,0.0,3780.0,82701.0,0.0,0.0,0.0,6393597.0,0.0,1858.0,0.0,0.0,124.0,11388674.0,Texas,82,0.031147274465808058,0.04118569269071237
44,UT,6,6.0,0.0,0.0,59.0,3189.0,0.0,0.0,2653.0,0.0,0.0,562566.0,0.0,0.0,0.0,16902.0,0.0,8402.0,441.0,8222.0,0.0,0.0,0.0,883818.0,0.0,2199.0,0.0,0.0,43.0,1488494.0,Utah,99,0.0036238865843817333,0.005693298552054505
45,VT,3,0.0,3.0,8.0,0.0,1710.0,0.0,0.0,0.0,211.0,0.0,235791.0,0.0,5905.0,0.0,1828.0,0.0,0.0,49.0,893.0,0.0,7.0,4.0,119395.0,0.0,1549.0,0.0,0.0,2072.0,369422.0,Vermont,62,0.0015188970567328159,0.0007691078713293321
46,VA,13,0.0,13.0,0.0,0.0,8408.0,0.0,0.0,0.0,0.0,0.0,2333778.0,0.0,0.0,0.0,19802.0,0.0,0.0,0.0,34880.0,0.0,0.0,0.0,2074097.0,0.0,8975.0,0.0,0.0,23348.0,4503288.0,Virginia,66,0.015033519240631735,0.013360729750831725
47,WA,12,0.0,12.0,3323.0,0.0,8695.0,0.0,0.0,0.0,824.0,0.0,2245849.0,0.0,54868.0,917.0,16428.0,0.0,0.0,0.0,29754.0,0.0,0.0,0.0,1530923.0,0.0,7254.0,0.0,0.0,25408.0,3924243.0,Washington,78,0.014467106191357337,0.009861760791483019
48,WV,4,4.0,0.0,10.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,214309.0,0.0,8947.0,0.0,3047.0,0.0,0.0,63.0,2531.0,0.0,0.0,0.0,533556.0,0.0,39.0,0.0,0.0,7.0,762582.0,West Virginia,94,0.0013805162594473625,0.0034370126001507027
49,WI,10,10.0,0.0,0.0,0.0,2035.0,0.0,0.0,0.0,0.0,0.0,1668229.0,0.0,17740.0,0.0,10511.0,0.0,0.0,561.0,12275.0,0.0,0.0,4044.0,1697626.0,0.0,2753.0,0.0,0.0,7144.0,3422918.0,Wisconsin,76,0.010746246116502873,0.010935613042198825
50,WY,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69527.0,0.0,0.0,0.0,4193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192633.0,0.0,0.0,0.0,0.0,2695.0,269048.0,Wyoming,93,0.00044787271636094033,0.0012408857705748417
